Pm;Vm;Im;Voc;Isc;Voc_coeff;Isc_coeff;Rs;Iph;I0;Rp;n
3.61375;0.491666667;7.35;0.613888889;8.06;-0.32;0.05;0.006835833;8.0988;6.0837E-11;1.479372222;0.93475
4.0188;0.51;7.88;0.621060606;8.31;-0.3244;0.053321;0.004738333;8.3312;7.6058E-11;11.75985606;0.9512
2.71;0.5;5.42;0.625;6.02;-0.34;0.05;0.009205;6.055;9.6615E-11;1.582920833;0.98115
4.08375;0.495;8.25;0.62;8.8;-0.34;0.07;0.006230833;8.8702;1.4869E-10;2.933245;0.97354
3.7536;0.490666667;7.65;0.611;8.21;-0.4198;0.06905;0.005404833;8.2892;1.9036E-09;2.558016667;1.0729
3.854333333;0.497333333;7.75;0.613166667;8.34;-0.35241;0.039796;0.005316333;8.3554;2.088E-10;2.881243333;0.97864
3.9204;0.484;8.1;0.615666667;8.64;-0.3641;0.057002;0.007138167;8.6786;3.3628E-10;5.177318333;1.0001
3.897833333;0.505555556;7.71;0.625;8.23;-0.38311;0.055298;0.005353056;8.2572;6.0134E-10;4.836272222;1.0428
4.26;0.5;8.52;0.62;8.98;-0.32;0.06;0.0056055;9.0011;7.0062E-11;13.295855;0.94362
2.386666667;0.497222222;4.8;0.613888889;5.1;-0.39719;0.060392;0.008073194;5.1404;5.8998E-10;6.421852778;1.0448
3.918016667;0.501666667;7.81;0.618333333;8.31;-0.35;0.05;0.005354;8.3169;1.949E-10;6.652356667;0.98371
3.710666667;0.488888889;7.59;0.614814815;8.13;-0.395;0.117;0.006451852;8.1387;9.471E-10;6.032025926;1.0467
3.834266667;0.496666667;7.72;0.616666667;8.26;-0.35;0.06;0.0059085;8.2713;1.9632E-10;4.326433333;0.98181
3.49641;0.477;7.33;0.609166667;7.79;-0.29601;0.123;0.008773;7.8039;2.5421E-11;8.012196667;0.89675
3.885;0.5;7.77;0.623611111;8.28;-0.37;0.115;0.006044444;8.3196;4.2863E-10;4.730125;1.0253
4.17635;0.505;8.27;0.636515152;8.65;-0.4213;0.093503;0.006076364;8.8139;2.2004E-09;18.73560455;1.1207
2.4375;0.4875;5;0.6;5.49;-0.372;0.12501;0.007422875;5.5084;3.0511E-10;2.21076875;0.99097
3.786611111;0.505555556;7.49;0.608055556;7.96;-0.34;0.05;0.003780417;7.9654;1.2977E-10;5.598366667;0.95329
3.168;0.495;6.4;0.618333333;7.1;-0.37;0.07;0.007286;7.1366;3.3862E-10;1.415285;1.0151
3.751416667;0.491666667;7.63;0.614583333;8.37;-0.31;0.02;0.006776458;8.4507;4.0518E-11;1.201920833;0.92
3.812973958;0.485729167;7.85;0.6040625;8.31;-0.37344;0.010084;0.005625208;8.3464;4.1504E-10;8.401894792;0.99139
4.041194444;0.501388889;8.06;0.616666667;8.57;-0.4259;0.096196;0.004296667;8.5844;2.4615E-09;10.26455278;1.0927
4.026;0.508333333;7.92;0.633333333;8.39;-0.348;0.058999;0.006203889;8.4271;1.8641E-10;6.714638889;1.0052
4.09125;0.495909091;8.25;0.627878788;8.71;-0.34271;0.065809;0.007049545;8.7605;1.6182E-10;9.687268182;0.98912
3.3345;0.475;7.02;0.6;7.7;-0.34;0.07;0.007642667;7.7815;1.2811E-10;1.32751;0.9428
3.8897;0.50125;7.76;0.61;8.63;-0.4339;0.076605;0.003450556;8.5723;2.9771E-09;1.630123611;1.0923
3.890740741;0.509259259;7.64;0.607407407;8.25;-0.34899;0.059006;0.002939074;8.2615;1.8778E-10;2.180111111;0.96603
2.5;0.5;5;0.622222222;5.29;-0.36569;0.070605;0.009242083;5.3262;2.2227E-10;9.415301389;1.0139
4.098722222;0.490277778;8.36;0.615277778;8.67;-0.31;0.05;0.00655125;8.8361;4.5495E-11;16.78634306;0.9215
