,Pm,Vm,Im,Voc,Isc,Voc_coeff,Isc_coeff,Rs,Iph,I0,Rp,n
53,3.541041667,0.47916666700000005,7.39,0.604166667,7.98,-0.34,0.07,0.0072391669999999995,8.0095,1.3372e-10,2.521156944,0.94876
54,3.833216667,0.47033333299999996,8.15,0.612666667,8.9,-0.36001,0.03,0.008618333,8.9407,2.8616e-10,1.883875,0.9883299999999999
55,2.9196805560000003,0.5736111110000001,5.09,0.706944444,5.57,-0.278,0.035601,0.010522083,5.5945,7.0883e-12,2.391588889,1.0064
56,4.00465,0.505,7.93,0.6033333329999999,8.53,-0.34801,0.10300000000000001,0.002934167,8.5401,2.0084e-10,2.4708416669999997,0.96068
57,3.8898138889999996,0.498055556,7.81,0.617638889,8.39,-0.37,0.06,0.005555,8.4041,3.9856e-10,3.4789819439999996,1.0122
58,3.515,0.475,7.4,0.6083333329999999,7.9,-0.444,0.059000000000000004,0.0074413330000000005,7.9444,3.6109000000000004e-09,10.591944999999999,1.1011
59,4.1734,0.513333333,8.13,0.6266666670000001,8.68,-0.31,0.05,0.004921333,8.6919,4.4511000000000005e-11,3.586633333,0.93894
60,3.4986,0.49,7.14,0.635,8.12,-0.36399000000000004,0.051121,0.009595333000000001,8.211,3.0498e-10,0.856171667,1.0332
61,4.1683333330000005,0.5083333329999999,8.2,0.626388889,8.71,-0.31889,0.036797,0.005455833,8.7177,6.2464e-11,6.164120832999999,0.9505
62,4.5208625,0.53375,8.47,0.635277778,8.6,-0.4204,0.092302,0.002058611,8.8347,2.1061e-09,114.50663059999998,1.1159999999999999
63,4.082483333,0.514166667,7.94,0.621458333,8.45,-0.3678,0.044000000000000004,0.003713958,8.4795,3.6515e-10,4.130065625,1.0142
64,4.0851,0.51,8.01,0.625,8.57,-0.34811,0.042205,0.004874333,8.581,1.8508e-10,3.7985233330000003,0.9912799999999999
65,2.5,0.5,5.0,0.6,5.51,-0.38229,0.053158000000000004,0.00449875,5.5226,3.8473e-10,1.9608222219999998,1.001
66,3.903472222,0.5069444439999999,7.7,0.6166666670000001,8.3,-0.3384,0.044795,0.004535,8.3154,1.2584e-10,2.4494486109999998,0.9645799999999999
67,3.5855,0.505,7.1,0.615,8.3,-0.32400999999999996,0.027000000000000003,0.004860499999999999,8.3709,6.841199999999999e-11,0.5691383329999999,0.94271
68,3.8211111110000004,0.502777778,7.6,0.62,8.44,-0.38799,0.047998,0.005022083,8.4761,7.0268e-10,1.173895833,1.0425
69,4.3583099999999995,0.515166667,8.46,0.633,8.78,-0.34621,0.05439600000000001,0.004927,8.8711,1.8323e-10,59.87016,1.0015
70,2.602475,0.528958333,4.92,0.6239583329999999,5.25,-0.358,0.06301,0.003287917,5.2554,1.6600999999999998e-10,5.835440625,1.0053
71,3.6781666669999997,0.483333333,7.61,0.6083333329999999,8.52,-0.36,0.03,0.006656111,8.5785,2.7030000000000004e-10,0.969770833,0.9822799999999999
72,4.2622,0.5275,8.08,0.630833333,8.79,-0.37001,0.06,0.0028425,8.8042,4.1473e-10,1.7543016669999998,1.0344
73,3.92385,0.505,7.77,0.615,8.31,-0.37011,0.042201999999999996,0.004274333,8.3185,3.8616000000000004e-10,4.182923333,1.0068
74,3.7521,0.495,7.58,0.6166666670000001,8.46,-0.39105,0.056844000000000006,0.0057095,8.5049,7.8644e-10,1.075301667,1.042
75,3.9984,0.51,7.84,0.625,8.38,-0.35,0.06,0.0049565,8.3899,1.9911000000000002e-10,4.205083333,0.9951
76,4.007083333,0.49166666700000006,8.15,0.6233333329999999,8.7,-0.37,0.04,0.006910333,8.7257,4.0319000000000003e-10,5.646815,1.02
77,4.3025694439999995,0.515277778,8.35,0.642361111,8.65,-0.3469,0.067618,0.006063194,8.7455,1.8872999999999998e-10,30.10540417,1.0181
78,3.7995,0.51,7.45,0.617916667,7.95,-0.29,0.12,0.00491375,7.9609,1.9939e-11,3.570505556,0.9010799999999999
79,3.504458333,0.46416666700000003,7.55,0.598333333,8.2,-0.31799,0.011000000000000001,0.008783833000000001,8.2345,5.405699999999999e-11,2.088196667,0.9056799999999999
80,2.577138889,0.501388889,5.14,0.619444444,5.48,-0.35,0.05,0.008396667,5.4854,1.2843e-10,8.447413889,0.9855299999999999
81,3.4188,0.493333333,6.93,0.601666667,7.67,-0.32500999999999997,0.05500700000000001,0.005173167,7.7024,7.0534e-11,1.224166667,0.9237799999999999
82,3.8913,0.51,7.63,0.615,8.56,-0.32400999999999996,0.026998,0.003944583,8.5982,7.1759e-11,0.883984722,0.9414899999999999
83,2.641388889,0.513888889,5.14,0.6347222220000001,5.51,-0.3709,0.064701,0.008210417,5.5289,2.7191000000000005e-10,5.378883332999999,1.0418
84,3.9839952380000003,0.534047619,7.46,0.620714286,8.24,-0.32831,0.054951,0.00120531,8.2484,8.5714e-11,1.181533333,0.9578
85,4.0,0.5,8.0,0.62,8.65,-0.34581,0.040405,0.005658333000000001,8.6715,1.7079e-10,2.2766599999999997,0.9802200000000001
86,3.608,0.488888889,7.38,0.611111111,8.15,-0.37621,0.07170599999999999,0.006247221999999999,8.1874,4.8039e-10,1.3608074069999998,1.0121
87,4.00021875,0.493854167,8.1,0.6146875,8.57,-0.36358,0.010443000000000001,0.005696667,8.6102,3.0643e-10,8.608741667,0.9947799999999999
88,2.220166667,0.480555556,4.62,0.605555556,5.05,-0.33741,0.042693,0.011535833,5.0756,7.3325e-11,2.633681944,0.9460299999999999
89,3.8378900000000002,0.503,7.63,0.609,8.14,-0.3373,0.061597000000000006,0.004188667,8.2221,1.2238e-10,2.173316667,0.9521
90,4.030208333,0.5069444439999999,7.95,0.6180555560000001,8.49,-0.36200000000000004,0.09599500000000001,0.004336667,8.5031,3.2443e-10,4.229631943999999,1.0035
91,3.5401388889999996,0.493055556,7.18,0.583333333,8.16,-0.32119000000000003,0.078493,0.00248625,8.1982,6.809699999999999e-11,0.7294875,0.8935
92,3.888277778,0.49722222200000005,7.82,0.6180555560000001,8.86,-0.33,0.06,0.005940417,8.9292,9.8681e-11,0.7604569440000001,0.95715
93,4.0833900000000005,0.531,7.69,0.654833333,8.21,-0.34001,0.06,0.005876333,8.2605,1.3611e-10,3.288215,1.0275
94,2.289583333,0.48611111100000004,4.71,0.611111111,5.1,-0.301,0.063,0.01177375,5.1178,1.8418e-11,3.3695819439999997,0.90391
95,3.890208333,0.493055556,7.89,0.625,8.35,-0.34299999999999997,0.043198,0.007419583,8.3984,1.5132e-10,7.835420833,0.9836799999999999
96,3.5416944439999996,0.480555556,7.37,0.6083333329999999,8.12,-0.44251,0.093805,0.006488611,8.2035,3.7282e-09,1.3180416670000001,1.1037
97,4.277666667,0.5216666670000001,8.2,0.6283333329999999,8.8,-0.32729,0.040205,0.003758833,8.8471,8.740399999999999e-11,2.139636667,0.96639
98,3.520481481,0.47962963,7.34,0.603703704,7.95,-0.34,0.07,0.007148519,7.9754,1.3299e-10,2.3277,0.94809
