,f,TF,Rs,Ls,Csh,Gsh,C0,G0,CHL,GHL,Case_name
106,12.76438809,-74.96393577,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
107,12.79381304,-74.98397759,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
108,12.82330583,-75.00401961,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
109,12.8528666,-75.02406182,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
110,12.88249552,-75.04410424,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
111,12.91219274,-75.06414686,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
112,12.94195841,-75.08418968,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
113,12.97179271,-75.10423270000001,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
114,13.00169578,-75.12427593,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
115,13.03166778,-75.14431936,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
116,13.06170888,-75.16436299,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
117,13.09181923,-75.18440683,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
118,13.12199899,-75.20445088,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
119,13.15224832,-75.22449514,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
120,13.18256739,-75.24453961,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
121,13.21295634,-75.26458428,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
122,13.24341535,-75.28462917,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
123,13.27394458,-75.30467427,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
124,13.30454418,-75.32471958,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
125,13.33521432,-75.34476509999999,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
126,13.36595517,-75.36481084,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
127,13.39676687,-75.3848568,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
128,13.42764961,-75.40490297,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
129,13.45860354,-75.42494936,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
130,13.48962883,-75.44499597,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
131,13.52072563,-75.46504279999999,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
132,13.55189412,-75.48508985,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
133,13.58313447,-75.50513712,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
134,13.61444682,-75.52518461,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
135,13.64583137,-75.54523233,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
136,13.67728826,-75.56528027,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
137,13.70881766,-75.58532844,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
138,13.74041975,-75.60537683,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
139,13.77209469,-75.62542546,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
140,13.80384265,-75.64547431,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
141,13.83566379,-75.66552339,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
142,13.86755829,-75.68557270000001,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
143,13.89952631,-75.70562224,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
144,13.93156803,-75.72567202,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
145,13.96368361,-75.74572203,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
146,13.99587323,-75.76577228,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
147,14.02813705,-75.78582276,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
148,14.06047524,-75.80587348,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
149,14.09288798,-75.82592444,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
150,14.12537545,-75.84597563,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
151,14.1579378,-75.86602707,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
152,14.19057522,-75.88607875,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
153,14.22328787,-75.90613067,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
154,14.25607594,-75.92618284,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
155,14.28893959,-75.94623525,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
