f,TF,Rs,Ls,Csh,Gsh,C0,G0,CHL,GHL,Case_name
14.42115352,-76.02644737,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.45439771,-76.04650102,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.48771854,-76.06655492,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.52111618,-76.08660908,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.55459081,-76.10666349,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.5881426,-76.12671816,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.62177174,-76.14677308,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.65547841,-76.16682826,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.68926278,-76.1868837,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.72312502,-76.2069394,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.75706533,-76.22699536,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.79108388,-76.24705158,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.82518085,-76.26710806,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.85935642,-76.28716481,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.89361078,-76.30722183,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.9279441,-76.32727911,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.96235656,-76.34733666,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
14.99684836,-76.36739448,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.03141966,-76.38745258,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.06607066,-76.40751094,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.10080154,-76.42756958,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.13561248,-76.44762849,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.17050367,-76.46768767,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.2054753,-76.48774714,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.24052754,-76.50780688,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.27566058,-76.5278669,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.31087462,-76.54792721,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.34616983,-76.56798779,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.3815464,-76.58804866,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.41700453,-76.60810981,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.4525444,-76.62817125,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.48816619,-76.64823298,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.5238701,-76.66829499,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.55965632,-76.6883573,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.59552503,-76.70841989,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.63147643,-76.72848278,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.6675107,-76.74854596,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.70362804,-76.76860944,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.73982864,-76.78867321,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.7761127,-76.80873729,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.81248039,-76.82880166,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.84893192,-76.84886633,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.88546749,-76.86893131,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.92208727,-76.88899658,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.95879147,-76.90906217,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
15.99558029,-76.92912806,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.03245391,-76.94919425,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.06941253,-76.96926076,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.10645635,-76.98932758,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.14358557,-77.0093947,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.18080038,-77.02946215,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.21810097,-77.0495299,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.25548756,-77.06959798,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.29296033,-77.08966637,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.33051948,-77.10973508,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.36816521,-77.12980411,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.40589773,-77.14987346,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.44371723,-77.16994314,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.48162392,-77.19001314,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.51961798,-77.21008347,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.55769963,-77.23015412,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.59586907,-77.25022511,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
